　,A1A1,　
丢,A7D2,б
东,A7D3,в
冬,A7D4,г
懂,A7D5,д
动,A7D6,е
冻,A7D7,ё
洞,A7D8,ж
都,A7D9,з
斗,A7DA,и
抖,A7DB,й
陡,A7DC,к
豆,A7DD,л
督,A7DE,м
毒,A7DF,н
读,A7E0,о
独,A7E1,п
堵,A7E2,р
赌,A7E3,с
杜,A7E4,т
肚,A7E5,у
度,A7E6,ф
渡,A7E7,х
端,A7E8,ц
短,A7E9,ч
段,A7EA,ш
断,A7EB,щ
锻,A7EC,ъ
堆,A7ED,ы
队,A7EE,ь
对,A7EF,э
吨,A7F0,ю
敦,A7F1,я
蹲,A8A1,─
盾,A8A2,│
顿,A8A3,┌
多,A8A4,┐
夺,A8A5,┘
朵,A8A6,└
躲,A8A7,├
俄,A8A8,┬
鹅,A8A9,┤
额,A8AA,┴
恶,A8AB,┼
饿,A8AC,━
鳄,A8AD,┃
恩,A8AE,┏
儿,A8AF,┓
而,A8B0,┛
尔,A8B1,┗
耳,A8B2,┣
二,A8B3,┳
发,A8B4,┫
乏,A8B5,┻
伐,A8B6,╋
罚,A8B7,┠
阀,A8B8,┯
法,A8B9,┨
帆,A8BA,┷
番,A8BB,┿
翻,A8BC,┝
凡,A8BD,┰
烦,A8BE,┥
繁,A8BF,┸
反,A8C0,╂
返,ADA1,①
犯,ADA2,②
泛,ADA3,③
饭,ADA4,④
范,ADA5,⑤
贩,ADA6,⑥
方,ADA7,⑦
坊,ADA8,⑧
芳,ADA9,⑨
防,ADAA,⑩
妨,ADAB,⑪
房,ADAC,⑫
肪,ADAD,⑬
仿,ADAE,⑭
访,ADAF,⑮
纺,ADB0,⑯
放,ADB1,⑰
飞,ADB2,⑱
非,ADB3,⑲
啡,ADB4,⑳
菲,ADB5,Ⅰ
肥,ADB6,Ⅱ
废,ADB7,Ⅲ
沸,ADB8,Ⅳ
肺,ADB9,Ⅴ
费,ADBA,Ⅵ
分,ADBB,Ⅶ
纷,ADBC,Ⅷ
芬,ADBD,Ⅸ
坟,ADBE,Ⅹ
粉,ADC0,㍉
份,ADC1,㌔
奋,ADC2,㌢
愤,ADC3,㍍
粪,ADC4,㌘
丰,ADC5,㌧
风,ADC6,㌃
枫,ADC7,㌶
封,ADC8,㍑
疯,ADC9,㍗
峰,ADCA,㌍
锋,ADCB,㌦
蜂,ADCC,㌣
冯,ADCD,㌫
逢,ADCE,㍊
缝,ADCF,㌻
凤,ADD0,㎜
奉,ADD1,㎝
佛,ADD2,㎞
否,ADD3,㎎
夫,ADD4,㎏
肤,ADD5,㏄
孵,ADD6,㎡
弗,ADDF,㍻
伏,ADE0,〝
扶,ADE1,〟
服,ADE2,№
浮,ADE3,㏍
符,ADE4,℡
幅,ADE5,㊤
福,ADE6,㊥
辐,ADE7,㊦
蝠,ADE8,㊧
抚,ADE9,㊨
府,ADEA,㈱
辅,ADEB,㈲
腐,ADEC,㈹
父,ADED,㍾
付,ADEE,㍽
妇,ADEF,㍼
负,ADF0,≒
附,ADF1,≡
复,ADF2,∫
赴,ADF3,∮
副,ADF4,∑
傅,ADF5,√
富,ADF6,⊥
赋,ADF7,∠
腹,ADF8,∟
覆,ADF9,⊿
该,ADFA,∵
改,ADFB,∩
钙,ADFC,∪
盖,B0A1,亜
溉,B0A2,唖
概,B0A3,娃
干,B0A4,阿
甘,B0A5,哀
杆,B0A6,愛
肝,B0A7,挨
赶,B0A8,姶
敢,B0A9,逢
感,B0AA,葵
刚,B0AB,茜
岗,B0AC,穐
纲,B0AD,悪
缸,B0AE,握
钢,B0AF,渥
港,B0B0,旭
高,B0B1,葦
搞,B0B2,芦
稿,B0B3,鯵
告,B0B4,梓
戈,B0B5,圧
哥,B0B6,斡
胳,B0B7,扱
鸽,B0B8,宛
割,B0B9,姐
歌,B0BA,虻
阁,B0BB,飴
革,B0BC,絢
格,B0BD,綾
葛,B0BE,鮎
隔,B0BF,或
个,B0C0,粟
各,B0C1,袷
给,B0C2,安
根,B0C3,庵
跟,B0C4,按
更,B0C5,暗
耕,B0C6,案
工,B0C7,闇
弓,B0C8,鞍
公,B0C9,杏
功,B0CA,以
攻,B0CB,伊
供,B0CC,位
宫,B0CD,依
恭,B0CE,偉
巩,B0CF,囲
拱,B0D0,夷
共,B0D1,委
贡,B0D2,威
勾,B0D3,尉
沟,B0D4,惟
钩,B0D5,意
狗,B0D6,慰
构,B0D7,易
购,B0D8,椅
够,B0D9,為
估,B0DA,畏
咕,B0DB,異
姑,B0DC,移
孤,B0DD,維
菇,B0DE,緯
古,B0DF,胃
谷,B0E0,萎
股,B0E1,衣
骨,B0E2,謂
鼓,B0E3,違
固,B0E4,遺
故,B0E5,医
顾,B0E6,井
瓜,B0E7,亥
刮,B0E8,域
挂,B0E9,育
拐,B0EA,郁
怪,B0EB,磯
关,B0EC,一
观,B0ED,壱
官,B0EE,溢
冠,B0EF,逸
馆,B0F0,稲
管,B0F1,茨
贯,B0F2,芋
惯,B0F3,鰯
灌,B0F4,允
罐,B0F5,印
光,B0F6,咽
广,B0F7,員
归,B0F8,因
龟,B0F9,姻
规,B0FA,引
硅,B0FB,飲
轨,B0FC,淫
鬼,B0FD,胤
柜,B0FE,蔭
贵,B1A1,院
桂,B1A2,陰
滚,B1A3,隠
棍,B1A4,韻
郭,B1A5,吋
锅,B1A6,右
国,B1A7,宇
果,B1A8,烏
裹,B1A9,羽
过,B1AA,迂
哈,B1AB,雨
孩,B1AC,卯
海,B1AD,鵜
害,B1AE,窺
含,B1AF,丑
函,B1B0,碓
寒,B1B1,臼
韩,B1B2,渦
罕,B1B3,嘘
喊,B1B4,唄
汉,B1B5,欝
汗,B1B6,蔚
旱,B1B7,鰻
杭,B1B8,姥
航,B1B9,厩
毫,B1BA,浦
豪,B1BB,瓜
好,B1BC,閏
号,B1BD,噂
浩,B1BE,云
耗,B1BF,運
呵,B1C0,雲
喝,B1C1,荏
合,B1C2,餌
何,B1C3,叡
和,B1C4,営
河,B1C5,嬰
核,B1C6,影
荷,B1C7,映
盒,B1C8,曳
贺,B1C9,栄
褐,B1CA,永
赫,B1CB,泳
鹤,B1CC,洩
黑,B1CD,瑛
嘿,B1CE,盈
痕,B1CF,穎
很,B1D0,頴
狠,B1D1,英
恨,B1D2,衛
哼,B1D3,詠
恒,B1D4,鋭
横,B1D5,液
衡,B1D6,疫
轰,B1D7,益
哄,B1D8,駅
红,B1D9,悦
宏,B1DA,謁
洪,B1DB,越
虹,B1DC,閲
鸿,B1DD,榎
侯,B1DE,厭
喉,B1DF,円
猴,B1E0,園
吼,B1E1,堰
后,B1E2,奄
厚,B1E3,宴
候,B1E4,延
乎,B1E5,怨
呼,B1E6,掩
忽,B1E7,援
狐,B1E8,沿
胡,B1E9,演
壶,B1EA,炎
湖,B1EB,焔
葫,B1EC,煙
糊,B1ED,燕
蝴,B1EE,猿
虎,B1EF,縁
互,B1F0,艶
户,B1F1,苑
护,B1F2,薗
花,B1F3,遠
华,B1F4,鉛
哗,B1F5,鴛
滑,B1F6,塩
化,B1F7,於
划,B1F8,汚
画,B1F9,甥
话,B1FA,凹
桦,B1FB,央
怀,B1FC,奥
淮,B1FD,往
坏,B1FE,応
欢,B2A1,押
还,B2A2,旺
环,B2A3,横
缓,B2A4,欧
幻,B2A5,殴
唤,B2A6,王
换,B2A7,翁
患,B2A8,襖
荒,B2A9,鴬
慌,B2AA,鴎
皇,B2AB,黄
黄,B2AC,岡
煌,B2AD,沖
晃,B2AE,荻
灰,B2AF,億
恢,B2B0,屋
挥,B2B1,憶
辉,B2B2,臆
徽,B2B3,桶
回,B2B4,牡
毁,B2B5,乙
悔,B2B6,俺
汇,B2B7,卸
会,B2B8,恩
绘,B2B9,温
惠,B2BA,穏
慧,B2BB,音
昏,B2BC,下
婚,B2BD,化
浑,B2BE,仮
魂,B2BF,何
混,B2C0,伽
活,B2C1,価
火,B2C2,佳
伙,B2C3,加
或,B2C4,可
货,B2C5,嘉
获,B2C6,夏
祸,B2C7,嫁
惑,B2C8,家
霍,B2C9,寡
击,B2CA,科
饥,B2CB,暇
圾,B2CC,果
机,B2CD,架
肌,B2CE,歌
鸡,B2CF,河
积,B2D0,火
基,B2D1,珂
迹,B2D2,禍
绩,B2D3,禾
激,B2D4,稼
及,B2D5,箇
吉,B2D6,花
级,B2D7,苛
即,B2D8,茄
极,B2D9,荷
急,B2DA,華
疾,B2DB,菓
集,B2DC,蝦
辑,B2DD,課
籍,B2DE,嘩
几,B2DF,貨
己,B2E0,迦
挤,B2E1,過
脊,B2E2,霞
计,B2E3,蚊
记,B2E4,俄
纪,B2E5,峨
忌,B2E6,我
技,B2E7,牙
际,B2E8,画
剂,B2E9,臥
季,B2EA,芽
既,B2EB,蛾
济,B2EC,賀
继,B2ED,雅
寂,B2EE,餓
寄,B2EF,駕
加,B2F0,介
夹,B2F1,会
佳,B2F2,解
家,B2F3,回
嘉,B2F4,塊
甲,B2F5,壊
贾,B2F6,廻
钾,B2F7,快
价,B2F8,怪
驾,B2F9,悔
架,B2FA,恢
